file,target_shelf,colour,marker_number,marker_conf,physical_column,token,book_row,t_shelf_id,t_book_id,t_grip,t_grasped,t_stowed,t_bin_id,t_placed,nav_arrivals,nav_xy_err_mean_mm,grasp_realigns,first_try_grip,furthest,end,failure,planned_paths,executed_pts
trial_1789456872631192902.json,2,red,2,0.55,3,book_col_3_row_5_red,4,216.0,304.5,,,,,,3,52.0,0,False,BOOK_IDENTIFIED,513.8,Incomplete collision-free Cartesian path: 0.000,100,82
trial_1789457099190715003.json,2,red,,,,,,,,,,,,,0,,0,False,STARTING,986.3,Action timeout; cancelled,100,82
trial_1789466360899403094.json,2,red,,,,,,,,,,,,,0,,0,False,STARTING,14.5,Action failed: status=6,0,311
trial_1789466765199258731.json,2,red,2,0.71,5,book_col_5_row_5_red,4,126.1,180.3,,,,,,3,47.7,0,False,BOOK_IDENTIFIED,290.4,Action failed: status=6,86,102
trial_1789467423925721746.json,2,red,2,0.43,4,book_col_4_row_4_red,3,126.4,166.4,,,,,,3,48.8,3,False,BOOK_IDENTIFIED,484.9,Sustained right-finger contact requires lateral alignment,67,91
trial_1789467910523095180.json,2,red,2,0.55,1,book_col_1_row_4_red,3,106.7,158.9,322.7,,,,,3,49.4,0,True,GRIP_CONFIRMED,370.1,Incomplete collision-free Cartesian path: 0.909,86,106
trial_1789468314854482577.json,2,red,2,0.72,5,book_col_5_row_3_red,2,157.6,211.3,,,,,,3,45.4,0,False,BOOK_IDENTIFIED,329.1,Action failed: status=6,91,107
trial_1789471409144735598.json,2,red,2,0.5,4,book_col_4_row_5_red,4,145.3,292.0,,,,,,3,48.8,0,False,BOOK_IDENTIFIED,493.2,Action failed: status=6,100,90
trial_1789475412622903890.json,2,red,2,0.41,4,book_col_4_row_3_red,2,264.4,368.7,,,,,,3,49.0,0,False,BOOK_IDENTIFIED,568.8,Incomplete collision-free Cartesian path: 0.055,100,91
trial_1789485814201393988.json,2,red,2,0.62,2,book_col_2_row_4_red,3,117.1,164.7,,,,,,3,48.6,0,False,BOOK_IDENTIFIED,443.7,Unintended contact during travel/inspection,94,86
trial_1789488958912956196.json,2,red,2,0.73,5,book_col_5_row_5_red,4,142.6,192.7,322.1,,,,,3,45.2,0,True,GRIP_CONFIRMED,372.3,Incomplete collision-free Cartesian path: 0.636,89,106
trial_1789489657666120416.json,2,red,2,0.42,4,book_col_4_row_3_red,2,152.8,195.3,350.2,396.3,,,,3,50.8,0,True,BOOK_GRASPED,557.0,Target book was not retained in transport pose,83,84
trial_1789490281964549868.json,2,red,2,0.42,4,book_col_4_row_5_red,4,121.9,167.5,290.9,,,,,3,49.7,0,True,GRIP_CONFIRMED,438.1,Target book was not retained during extraction segment 2,79,86
trial_1789491195484178459.json,2,red,2,0.55,1,book_col_1_row_5_red,4,117.5,181.6,341.5,678.4,,,,3,51.4,0,True,BOOK_GRASPED,678.4,Unintended contact during travel/inspection,100,111
trial_1789492807144865924.json,2,red,2,0.49,4,book_col_4_row_2_red,1,125.8,172.5,329.8,390.9,,,,3,50.8,0,True,BOOK_GRASPED,485.3,Action failed: status=6,83,87
trial_1789493788485927847.json,2,red,2,0.41,4,book_col_4_row_3_red,2,127.4,174.5,320.3,380.0,,,,3,49.4,0,True,BOOK_GRASPED,450.5,Target book was not retained in transport pose (last finger contact 40.0 s ago),81,91
trial_1789494310040989687.json,2,red,2,0.61,2,book_col_2_row_2_red,1,121.2,171.2,,,,,,3,49.8,0,False,BOOK_IDENTIFIED,380.5,Action acknowledgement timeout,93,91
